Key,en,tr,reviewed
Alert Bits,Alert Bits,Bit Bildirimi,True
Alert Donation,Alert Donation,Bağış Bildirimi,True
Alert Heart,Alert Heart,Kalp Bildirimi,True
Alert Like,Alert Like,Beğeni Bildirimi,True
Alert Star,Alert Star,Yıldız Bildirimi,True
Angry,Angry,Sinirli,True
Arrive,Arrive,Geldim,True
Arrive (with Chopstick),Arrive (with Chopstick),Geldim (Chopstick),True
Arrive (with Spoon),Arrive (with Spoon),Geldim (Kaşık),True
Bonk,Bonk,Bonk,True
Copium,Copium,Copium,True
Crowbar 1,Crowbar 1,Levye 1,True
Crowbar 2,Crowbar 2,Levye 2,True
Crowbar 3,Crowbar 3,Levye 3,True
Cry 1,Cry 1,Ağla 1,True
Cry 2,Cry 2,Ağla 2,True
Cry 3,Cry 3,Ağla 3,True
Dead,Dead,Öldüm,True
Dizzy,Dizzy,Başım Dönüyo,True
Drink (Beverage Cup),Drink (Beverage Cup),İç (Pipetle),True
Drive,Drive,Sür,True
Drooling (Chopstick),Drooling (Chopstick),Ağzım Sulandı (Chopstick),True
Drooling (Fork&Knife),Drooling (Fork&Knife),Ağzım Sulandı (Çatal ve Bıçak),True
Dum 1,Dum 1,Enayi 1,True
Dum 2,Dum 2,Enayi 2,True
Dum 3,Dum 3,Enayi 3,True
Dum Sticker 1,Dum Sticker 1,Enayi Stickeri 1,True
Dum Sticker 2,Dum Sticker 2,Enayi Stickeri 2,True
Dum Sticker 3,Dum Sticker 3,Enayi Stickeri 3,True
Exclamation,Exclamation,Aman,True
Jail 1,Jail 1,Hapis 1,True
Jail 2,Jail 2,Hapis 2,True
Knife 1,Knife 1,Bıçak 1,True
Knife 2,Knife 2,Bıçak 2,True
Laugh,Laugh,Gül,True
Lick,Lick,Yala Yala,True
Lightstick 1,Lightstick 1,Işıklı Çubuk 1,True
Lightstick 2,Lightstick 2,Işıklı Çubuk 2,True
Lurk 1,Lurk 1,Saklan 1,True
Lurk 2,Lurk 2,Saklan 2,True
Luv 1,Luv 1,Sevgi 1,True
Luv 2,Luv 2,Sevgi 2,True
Luv 3,Luv 3,Sevgi 3,True
Money,Money,Paracıklar,True
Mute 1,Mute 1,Susturulu 1,True
Mute 2,Mute 2,Susturulu 2,True
Nervous 1,Nervous 1,Endişeli 1,True
Nervous 2,Nervous 2,Endişeli 2,True
Noted 1,Noted 1,Not Alma 1,True
Noted 2,Noted 2,Not Alma 2,True
Pat,Pat,Kafa Okşa,True
Point,Point,İşaret et,True
Question,Question,Ney,True
Raid 1,Raid 1,Baskın 1,True
Raid 2,Raid 2,Baskın 2,True
RedPacket 1,RedPacket 1,Kırmızı Paket 1,True
RedPacket 2,RedPacket 2,Kırmızı Paket 2,True
Rose,Rose,Gül,True
Score (0 Point),Score (0 Point),Puanım (0),True
Score (10 Point),Score (10 Point),Puanım (10),True
Shy 1,Shy 1,Utangaç 1,True
Shy 2,Shy 2,Utangaç 2,True
Sleep (Normal),Sleep (Normal),Uyu (Normal),True
Sleep (Preparing Stage 1),Sleep (Preparing Stage 1),Uyku (Hazırlanma Aşaması 1),True
Sleep (Preparing Stage 2),Sleep (Preparing Stage 2),Uyku (Hazırlanma Aşaması 2),True
Sleep (UU),Sleep (UU),Uyu (UU),True
Surprise,Surprise,Sürpriz,True
Sweat,Sweat,Yorulma,True
Thumb Down,Thumb Down,Beğenmedim,True
Thumb Up,Thumb Up,Beğendim,True
Type Angry,Type Angry,Yaz Sinirli,True
Type Annoyed,Type Annoyed,Yaz Siniri bozuk,True
Type Normal,Type Normal,Yaz Normal,True
Work Angry,Work Angry,Çalış Sinirli,True
Work Nap,Work Nap,Çalış Uyu,True
Work Normal,Work Normal,Çalış Normal,True
Work Tired,Work Tired,Çalış Yorgun,True
Bell,Bell,Çan,True
Cake,Cake,Kek,True
Caught in 4K (Phone),Caught in 4K (Phone),Hop ss aldım (Telefon),True
Caught in 4K (Video Camera),Caught in 4K (Video Camera),Hop ss aldım (Video Kamera),True
Celebration,Celebration,Kutlama,True
Head Nod,Head Nod,Kafa Salla (Olumlu),True
Head Shake,Head Shake,Kafa salla (Olumsuz),True
Hypnosis,Hypnosis,Hipnoz,True
Laugh (Point),Laugh (Point),Gül (İşaret ederek),True
Love Letter,Love Letter,İlan-ı Aşk Mektubu,True
Need Food,Need Food,Yemek Lazım,True
PNGTuber Idle,PNGTuber Idle,PNGTuber Sabit,True
PNGTuber Idle 2,PNGTuber Idle 2,PNGTuber Sabit 2,True
PNGTuber Loading,PNGTuber Loading,PNGTuber Yükleniyor,False
PNGTuber Talk,PNGTuber Talk,PNGTuber Konuş,True
PNGTuber Talk 2,PNGTuber Talk 2,PNGTuber Konuş 2,True
PNGTuber Yap,PNGTuber Yap,PNGTuber Boş Yap,True
Popcat Frame,Popcat Frame,Popcat Düz,True
Popcat Smooth,Popcat Smooth,Popcat Akışkan,True
Sing,Sing,Şarkı Söyle,True
Tablet,Tablet,Çizim Tableti,True
Tail Wag,Tail Wag,Kuyruk Salla,True
Bug,Bug,Böcek,True
Cheer,Cheer,Tezahürat,True
Easter,Easter,Paskalya,True
Gun,Gun,Silah,True
Idea,Idea,Buldum,True
Megaphone,Megaphone,Megafon,True
Paid Break (Easy Mode),Paid Break (Easy Mode),Küçük Abdest,True
Paid Break (Hard Mode),Paid Break (Hard Mode),Büyük Abdest,True
Spray,Spray,Sprey,True
Stops Working,Stops Working,Hata Verdim,True
Sunglasses Gleam,Sunglasses Gleam,Güneş Gözlüğü Parıltısı,True
Sunglasses Pixel Gleam,Sunglasses Pixel Gleam,Güneş Gözlüğü Pixel Parıltı,True
Sunglasses Remove,Sunglasses Remove,Güneş Gözlüğünü Çıkar,True
Swatter,Swatter,Sineklik,True
Tape,Tape,Bant,True
Trash Bin,Trash Bin,Çöp Kutusu,True
TrashTuber Idle,TrashTuber Idle,Çöp Tuber Sabit,True
TrashTuber Talk,TrashTuber Talk,Çöp Tuber Konuş,True
TrashTuber Yap,TrashTuber Yap,Çöp Tuber Boş Yap,True
Cheers,Cheers,Şerefe,True
Dance 1,Dance 1,Dans 1,True
Dance (Caramelldansen),Dance (Caramelldansen),Dans (Caramelldansen),True
Dance (Helltaker),Dance (Helltaker),Dans (Helltaker),True
Dance (Low Cortisol),Dance (Low Cortisol),Dans (Low Cortisol),True
Eat (Donut),Eat (Donut),Yemek (Çörek),True
Eat (Popcorn),Eat (Popcorn),Yemek (Patlamış mısır),True
Eat (Watermelon),Eat (Watermelon),Yemek (Karpuz),True
Game,Game,Oyun,True
Greeting 1,Greeting 1,Selamlama 1,True
Greeting 2,Greeting 2,Selamlama 2,True
Sparkling 1,Sparkling 1,Pasparlak 1,True
Sparkling 2,Sparkling 2,Pasparlak 2,True
Think (Confident),Think (Confident),Düşün (Kendinden emin),True
Think (Serious),Think (Serious),Düşün (Ciddi),True
Alert Custom,Alert Custom,Özel Uyarı,False
Button,Button,Düğme,False
Card Swipe,Card Swipe,Kart Kaydırma,False
Coke Shake,Coke Shake,Kola Shake,False
Dance (Scuba),Dance (Scuba),Dans (Tüplü),False
Gift 1,Gift 1,Hediye 1,False
Gift 2,Gift 2,Hediye 2,False
Magic,Magic,Büyü,False
Reverse,Reverse,Tersi,False
Scared 1,Scared 1,Korkmuş 1,False
Scared 2,Scared 2,Korkmuş 2,False
Six Seven,Six Seven,Altı Yedi,False
Six Seven (Dum),Six Seven (Dum),Altı Yedi (Dum),False
Take My Money,Take My Money,Paramı Al,False
